Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Calculators,Firefox 66.0,,2019-04-18 12:40:46,2019-04-18 12:41:07,21.286s,FAILED
,,,,,,
Test Cases/DividendReinvestmentCalc,Firefox 66.0,,2019-04-18 12:40:46,2019-04-18 12:40:54,8.098s,PASSED
"openBrowser(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Firefox 66.0,,2019-04-18 12:40:46,2019-04-18 12:40:50,4.151s,PASSED
driver = getWebDriver(),Firefox 66.0,,2019-04-18 12:40:50,2019-04-18 12:40:50,0.005s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/dividend-reinvestment/""",Firefox 66.0,,2019-04-18 12:40:50,2019-04-18 12:40:50,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 66.0,,2019-04-18 12:40:50,2019-04-18 12:40:50,0.060s,PASSED
"selenium.open(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Firefox 66.0,,2019-04-18 12:40:50,2019-04-18 12:40:50,0.334s,PASSED
"selenium.click(""id=initialNumberOfShares"")",Firefox 66.0,,2019-04-18 12:40:50,2019-04-18 12:40:51,0.251s,PASSED
"selenium.type(""id=initialNumberOfShares"", ""200"")",Firefox 66.0,,2019-04-18 12:40:51,2019-04-18 12:40:51,0.064s,PASSED
"selenium.click(""id=initialPriceOfShares"")",Firefox 66.0,,2019-04-18 12:40:51,2019-04-18 12:40:51,0.238s,PASSED
"selenium.type(""id=initialPriceOfShares"", ""234"")",Firefox 66.0,,2019-04-18 12:40:51,2019-04-18 12:40:51,0.066s,PASSED
"selenium.click(""id=annualDividend"")",Firefox 66.0,,2019-04-18 12:40:51,2019-04-18 12:40:51,0.235s,PASSED
"selenium.type(""id=annualDividend"", ""23432"")",Firefox 66.0,,2019-04-18 12:40:51,2019-04-18 12:40:51,0.054s,PASSED
"selenium.click(""id=dividendAnnualGrowthRate"")",Firefox 66.0,,2019-04-18 12:40:51,2019-04-18 12:40:52,0.235s,PASSED
"selenium.type(""id=dividendAnnualGrowthRate"", ""43"")",Firefox 66.0,,2019-04-18 12:40:52,2019-04-18 12:40:52,0.049s,PASSED
"selenium.click(""id=stockPriceAnnualGrowthRate"")",Firefox 66.0,,2019-04-18 12:40:52,2019-04-18 12:40:52,0.232s,PASSED
"selenium.type(""id=stockPriceAnnualGrowthRate"", ""23"")",Firefox 66.0,,2019-04-18 12:40:52,2019-04-18 12:40:52,0.051s,PASSED
"selenium.click(""id=numberOfYears"")",Firefox 66.0,,2019-04-18 12:40:52,2019-04-18 12:40:52,0.235s,PASSED
"selenium.type(""id=numberOfYears"", ""3"")",Firefox 66.0,,2019-04-18 12:40:52,2019-04-18 12:40:52,0.049s,PASSED
"selenium.click(""id=numOfReinvestmentPerYear"")",Firefox 66.0,,2019-04-18 12:40:52,2019-04-18 12:40:52,0.236s,PASSED
"selenium.select(""id=numOfReinvestmentPerYear"", ""label=3"")",Firefox 66.0,,2019-04-18 12:40:52,2019-04-18 12:40:53,0.269s,PASSED
"selenium.click(""id=dividend-reinvestment-calculate"")",Firefox 66.0,,2019-04-18 12:40:53,2019-04-18 12:40:53,0.244s,PASSED
"selenium.click(""name=s"")",Firefox 66.0,,2019-04-18 12:40:53,2019-04-18 12:40:53,0.233s,PASSED
"takeScreenshot(""/Users/sthokala/Documents/DRCalculator.png"")",Firefox 66.0,,2019-04-18 12:40:53,2019-04-18 12:40:53,0.145s,PASSED
selenium.close(),Firefox 66.0,,2019-04-18 12:40:53,2019-04-18 12:40:54,0.460s,PASSED
,,,,,,
Test Cases/MutualFundCalc,Firefox 66.0,,2019-04-18 12:40:54,2019-04-18 12:40:54,0.195s,FAILED
"openBrowser(""https://calc.crafton.ocweb.team/mutual-fund/"")",Firefox 66.0,,2019-04-18 12:40:54,2019-04-18 12:40:54,0.087s,FAILED
,,,,,,
Test Cases/Prod_MutualFund,Firefox 66.0,,2019-04-18 12:40:54,2019-04-18 12:41:07,12.676s,PASSED
"openBrowser(""https://wealthyretirement.com/mutual-fund-calculator/"")",Firefox 66.0,,2019-04-18 12:40:54,2019-04-18 12:40:59,5.342s,PASSED
driver = getWebDriver(),Firefox 66.0,,2019-04-18 12:40:59,2019-04-18 12:40:59,0.001s,PASSED
"baseUrl = ""https://wealthyretirement.com/mutual-fund-calculator/""",Firefox 66.0,,2019-04-18 12:40:59,2019-04-18 12:40:59,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 66.0,,2019-04-18 12:40:59,2019-04-18 12:40:59,0.020s,PASSED
